pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
,0F,54,,r,P3+,,,,,ANDPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical AND of Packed Single-FP Values
66,0F,54,,r,P4+,,,,,ANDPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical AND of Packed Double-FP Values
,0F,55,,r,P3+,,,,,ANDNPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical AND NOT of Packed Single-FP Values
66,0F,55,,r,P4+,,,,,ANDNPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical AND NOT of Packed Double-FP Values
,0F,56,,r,P3+,,,,,ORPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical OR of Single-FP Values
66,0F,56,,r,P4+,,,,,ORPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical OR of Double-FP Values
,0F,57,,r,P3+,,,,,XORPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical XOR for Single-FP Values
66,0F,57,,r,P4+,,,,,XORPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical XOR for Double-FP Values
,0F,58,,r,P3+,,,,,ADDPS,xmm,xmm/m128,,,sse1,,,,,,Add Packed Single-FP Values
F3,0F,58,,r,P3+,,,,,ADDSS,xmm,xmm/m32,,,sse1,,,,,,Add Scalar Single-FP Values
66,0F,58,,r,P4+,,,,,ADDPD,xmm,xmm/m128,,,sse2,,,,,,Add Packed Double-FP Values
F2,0F,58,,r,P4+,,,,,ADDSD,xmm,xmm/m64,,,sse2,,,,,,Add Scalar Double-FP Values
,0F,59,,r,P3+,,,,,MULPS,xmm,xmm/m128,,,sse1,,,,,,Multiply Packed Single-FP Values
F3,0F,59,,r,P3+,,,,,MULSS,xmm,xmm/m32,,,sse1,,,,,,Multiply Scalar Single-FP Value
66,0F,59,,r,P4+,,,,,MULPD,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Double-FP Values
F2,0F,59,,r,P4+,,,,,MULSD,xmm,xmm/m64,,,sse2,,,,,,Multiply Scalar Double-FP Values
,0F,5A,,r,P4+,,,,,CVTPS2PD,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Single-FP Values to Double-FP Values
66,0F,5A,,r,P4+,,,,,CVTPD2PS,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Double-FP Values to Single-FP Values
F3,0F,5A,,r,P4+,,,,,CVTSS2SD,xmm,xmm/m32,,,sse2,,,,,,Convert Scalar Single-FP Value to Scalar Double-FP Value
F2,0F,5A,,r,P4+,,,,,CVTSD2SS,xmm,xmm/m64,,,sse2,,,,,,Convert Scalar Double-FP Value to Scalar Single-FP Value
,0F,5B,,r,P4+,,,,,CVTDQ2PS,xmm,xmm/m128,,,sse2,,,,,,Convert Packed DW Integers to Single-FP Values
66,0F,5B,,r,P4+,,,,,CVTPS2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Single-FP Values to DW Integers
F3,0F,5B,,r,P4+,,,,,CVTTPS2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers
,0F,5C,,r,P3+,,,,,SUBPS,xmm,xmm/m128,,,sse1,,,,,,Subtract Packed Single-FP Values
F3,0F,5C,,r,P3+,,,,,SUBSS,xmm,xmm/m32,,,sse1,,,,,,Subtract Scalar Single-FP Values
66,0F,5C,,r,P4+,,,,,SUBPD,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Double-FP Values
F2,0F,5C,,r,P4+,,,,,SUBSD,xmm,xmm/m64,,,sse2,,,,,,Subtract Scalar Double-FP Values
,0F,5D,,r,P3+,,,,,MINPS,xmm,xmm/m128,,,sse1,,,,,,Return Minimum Packed Single-FP Values
F3,0F,5D,,r,P3+,,,,,MINSS,xmm,xmm/m32,,,sse1,,,,,,Return Minimum Scalar Single-FP Value
66,0F,5D,,r,P4+,,,,,MINPD,xmm,xmm/m128,,,sse2,,,,,,Return Minimum Packed Double-FP Values
F2,0F,5D,,r,P4+,,,,,MINSD,xmm,xmm/m64,,,sse2,,,,,,Return Minimum Scalar Double-FP Value
,0F,5E,,r,P3+,,,,,DIVPS,xmm,xmm/m128,,,sse1,,,,,,Divide Packed Single-FP Values
F3,0F,5E,,r,P3+,,,,,DIVSS,xmm,xmm/m32,,,sse1,,,,,,Divide Scalar Single-FP Values
66,0F,5E,,r,P4+,,,,,DIVPD,xmm,xmm/m128,,,sse2,,,,,,Divide Packed Double-FP Values
F2,0F,5E,,r,P4+,,,,,DIVSD,xmm,xmm/m64,,,sse2,,,,,,Divide Scalar Double-FP Values
,0F,5F,,r,P3+,,,,,MAXPS,xmm,xmm/m128,,,sse1,,,,,,Return Maximum Packed Single-FP Values
F3,0F,5F,,r,P3+,,,,,MAXSS,xmm,xmm/m32,,,sse1,,,,,,Return Maximum Scalar Single-FP Value
66,0F,5F,,r,P4+,,,,,MAXPD,xmm,xmm/m128,,,sse2,,,,,,Return Maximum Packed Double-FP Values
F2,0F,5F,,r,P4+,,,,,MAXSD,xmm,xmm/m64,,,sse2,,,,,,Return Maximum Scalar Double-FP Value
,0F,60,,r,PX+,,,,,PUNPCKLBW,mm,mm/m64,,,mmx,,,,,,Unpack Low Data
66,0F,60,,r,P4+,,,,,PUNPCKLBW,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
,0F,61,,r,PX+,,,,,PUNPCKLWD,mm,mm/m64,,,mmx,,,,,,Unpack Low Data
66,0F,61,,r,P4+,,,,,PUNPCKLWD,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
,0F,62,,r,PX+,,,,,PUNPCKLDQ,mm,mm/m64,,,mmx,,,,,,Unpack Low Data
66,0F,62,,r,P4+,,,,,PUNPCKLDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
,0F,63,,r,PX+,,,,,PACKSSWB,mm,mm/m64,,,mmx,,,,,,Pack with Signed Saturation
66,0F,63,,r,P4+,,,,,PACKSSWB,xmm,xmm/m128,,,sse2,,,,,,Pack with Signed Saturation
,0F,64,,r,PX+,,,,,PCMPGTB,mm,mm/m64,,,mmx,,,,,,Compare Packed Signed Integers for Greater Than
66,0F,64,,r,P4+,,,,,PCMPGTB,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Signed Integers for Greater Than
,0F,65,,r,PX+,,,,,PCMPGTW,mm,mm/m64,,,mmx,,,,,,Compare Packed Signed Integers for Greater Than
66,0F,65,,r,P4+,,,,,PCMPGTW,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Signed Integers for Greater Than
,0F,66,,r,PX+,,,,,PCMPGTD,mm,mm/m64,,,mmx,,,,,,Compare Packed Signed Integers for Greater Than
66,0F,66,,r,P4+,,,,,PCMPGTD,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Signed Integers for Greater Than
,0F,67,,r,PX+,,,,,PACKUSWB,mm,mm/m64,,,mmx,,,,,,Pack with Unsigned Saturation
66,0F,67,,r,P4+,,,,,PACKUSWB,xmm,xmm/m128,,,sse2,,,,,,Pack with Unsigned Saturation
,0F,68,,r,PX+,,,,,PUNPCKHBW,mm,mm/m64,,,mmx,,,,,,Unpack High Data
66,0F,68,,r,P4+,,,,,PUNPCKHBW,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
,0F,69,,r,PX+,,,,,PUNPCKHWD,mm,mm/m64,,,mmx,,,,,,Unpack High Data
66,0F,69,,r,P4+,,,,,PUNPCKHWD,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
,0F,6A,,r,PX+,,,,,PUNPCKHDQ,mm,mm/m64,,,mmx,,,,,,Unpack High Data
66,0F,6A,,r,P4+,,,,,PUNPCKHDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
,0F,6B,,r,PX+,,,,,PACKSSDW,mm,mm/m64,,,mmx,,,,,,Pack with Signed Saturation
66,0F,6B,,r,P4+,,,,,PACKSSDW,xmm,xmm/m128,,,sse2,,,,,,Pack with Signed Saturation
66,0F,6C,,r,P4+,,,,,PUNPCKLQDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
66,0F,6D,,r,P4+,,,,,PUNPCKHQDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
,0F,6E,,r,PX+,,,,,MOVD,mm,r/m32,,,mmx,,,,,,Move Doubleword
66,0F,6E,,r,P4+,,,,,MOVD,xmm,r/m32,,,sse2,,,,,,Move Doubleword
,0F,6F,,r,PX+,,,,,MOVQ,mm,mm/m64,,,mmx,,,,,,Move Quadword
66,0F,6F,,r,P4+,,,,,MOVDQA,xmm,xmm/m128,,,sse2,,,,,,Move Aligned Double Quadword
F3,0F,6F,,r,P4+,,,,,MOVDQU,xmm,xmm/m128,,,sse2,,,,,,Move Unaligned Double Quadword
,0F,70,,r,P3+,,,,,PSHUFW,mm,mm/m64,imm8,,sse1,,,,,,Shuffle Packed Words
F2,0F,70,,r,P4+,,,,,PSHUFLW,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed Low Words
F3,0F,70,,r,P4+,,,,,PSHUFHW,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed High Words
66,0F,70,,r,P4+,,,,,PSHUFD,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed Doublewords
,0F,71,,2,PX+,,,,,PSRLW,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Logical
66,0F,71,,2,P4+,,,,,PSRLW,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Logical
,0F,71,,4,PX+,,,,,PSRAW,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Arithmetic
66,0F,71,,4,P4+,,,,,PSRAW,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Arithmetic
,0F,71,,6,PX+,,,,,PSLLW,mm,imm8,,,mmx,,,,,,Shift Packed Data Left Logical
66,0F,71,,6,P4+,,,,,PSLLW,xmm,imm8,,,sse2,,,,,,Shift Packed Data Left Logical
,0F,72,,2,PX+,,,,,PSRLD,mm,imm8,,,mmx,,,,,,Shift Double Quadword Right Logical
66,0F,72,,2,P4+,,,,,PSRLD,xmm,imm8,,,sse2,,,,,,Shift Double Quadword Right Logical
,0F,72,,4,PX+,,,,,PSRAD,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Arithmetic
66,0F,72,,4,P4+,,,,,PSRAD,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Arithmetic
,0F,72,,6,PX+,,,,,PSLLD,mm,imm8,,,mmx,,,,,,Shift Packed Data Left Logical
66,0F,72,,6,P4+,,,,,PSLLD,xmm,imm8,,,sse2,,,,,,Shift Packed Data Left Logical
,0F,73,,2,PX+,,,,,PSRLQ,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Logical
66,0F,73,,2,P4+,,,,,PSRLQ,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Logical
66,0F,73,,3,P4+,,,,,PSRLDQ,xmm,imm8,,,sse2,,,,,,Shift Double Quadword Right Logical
,0F,73,,6,PX+,,,,,PSLLQ,mm,imm8,,,mmx,,,,,,Shift Packed Data Left Logical
66,0F,73,,6,P4+,,,,,PSLLQ,xmm,imm8,,,sse2,,,,,,Shift Packed Data Left Logical
66,0F,73,,7,P4+,,,,,PSLLDQ,xmm,imm8,,,sse2,,,,,,Shift Double Quadword Left Logical
,0F,74,,r,PX+,,,,,PCMPEQB,mm,mm/m64,,,mmx,,,,,,Compare Packed Data for Equal
66,0F,74,,r,P4+,,,,,PCMPEQB,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Data for Equal
,0F,75,,r,PX+,,,,,PCMPEQW,mm,mm/m64,,,mmx,,,,,,Compare Packed Data for Equal
66,0F,75,,r,P4+,,,,,PCMPEQW,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Data for Equal
,0F,76,,r,PX+,,,,,PCMPEQD,mm,mm/m64,,,mmx,,,,,,Compare Packed Data for Equal
66,0F,76,,r,P4+,,,,,PCMPEQD,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Data for Equal
,0F,77,,,PX+,,,,,EMMS,,,,,mmx,,,,,,Empty MMX Technology State
,0F,78,,r,P4++,D24,P,0,,VMREAD,r/m32,r32,,,vmx,,o..szapc,o..szapc,,,Read Field from Virtual-Machine Control Structure
,0F,79,,r,P4++,D24,P,0,,VMWRITE,r32,r/m32,,,vmx,,o..szapc,o..szapc,,,Write Field to Virtual-Machine Control Structure
66,0F,7C,,r,P4++,,,,,HADDPD,xmm,xmm/m128,,,sse3,,,,,,Packed Double-FP Horizontal Add
F2,0F,7C,,r,P4++,,,,,HADDPS,xmm,xmm/m128,,,sse3,,,,,,Packed Single-FP Horizontal Add
66,0F,7D,,r,P4++,,,,,HSUBPD,xmm,xmm/m128,,,sse3,,,,,,Packed Double-FP Horizontal Subtract
F2,0F,7D,,r,P4++,,,,,HSUBPS,xmm,xmm/m128,,,sse3,,,,,,Packed Single-FP Horizontal Subtract
,0F,7E,,r,PX+,,,,,MOVD,r/m32,mm,,,mmx,,,,,,Move Doubleword
66,0F,7E,,r,P4+,,,,,MOVD,r/m32,xmm,,,sse2,,,,,,Move Doubleword
F3,0F,7E,,r,P4+,,,,,MOVQ,xmm,xmm/m64,,,sse2,,,,,,Move Quadword
,0F,7F,,r,PX+,,,,,MOVQ,mm/m64,mm,,,mmx,,,,,,Move Quadword
66,0F,7F,,r,P4+,,,,,MOVDQA,xmm/m128,xmm,,,sse2,,,,,,Move Aligned Double Quadword
F3,0F,7F,,r,P4+,,,,,MOVDQU,xmm/m128,xmm,,,sse2,,,,,,Move Unaligned Double Quadword
,0F,80,,,03+,,,,,JO,rel16/32,,,,,o.......,,,,,Jump near if overflow (OF=1)
,0F,81,,,03+,,,,,JNO,rel16/32,,,,,o.......,,,,,Jump near if not overflow (OF=0)
,0F,82,,,03+,,,,,JB,rel16/32,,,,,.......c,,,,,Jump near if below/not above or equal/carry (CF=1)
,,,,,,,,,,JNAE,rel16/32,,,,,,,,,,
,,,,,,,,,,JC,rel16/32,,,,,,,,,,
,0F,83,,,03+,,,,,JNB,rel16/32,,,,,.......c,,,,,Jump near if not below/above or equal/not carry (CF=0)
,,,,,,,,,,JAE,rel16/32,,,,,,,,,,
,,,,,,,,,,JNC,rel16/32,,,,,,,,,,
,0F,84,,,03+,,,,,JZ,rel16/32,,,,,....z...,,,,,Jump near if zero/equal (ZF=1)
,,,,,,,,,,JE,rel16/32,,,,,,,,,,
,0F,85,,,03+,,,,,JNZ,rel16/32,,,,,....z...,,,,,Jump near if not zero/not equal (ZF=0)
,,,,,,,,,,JNE,rel16/32,,,,,,,,,,
,0F,86,,,03+,,,,,JBE,rel16/32,,,,,....z..c,,,,,Jump near if below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,JNA,rel16/32,,,,,,,,,,
,0F,87,,,03+,,,,,JNBE,rel16/32,,,,,....z..c,,,,,Jump near if not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,JA,rel16/32,,,,,,,,,,
,0F,88,,,03+,,,,,JS,rel16/32,,,,,...s....,,,,,Jump near if sign (SF=1)
,0F,89,,,03+,,,,,JNS,rel16/32,,,,,...s....,,,,,Jump near if not sign (SF=0)
,0F,8A,,,03+,,,,,JP,rel16/32,,,,,......p.,,,,,Jump near if parity/parity even (PF=1)
,,,,,,,,,,JPE,rel16/32,,,,,,,,,,
,0F,8B,,,03+,,,,,JNP,rel16/32,,,,,......p.,,,,,Jump near if not parity/parity odd (PF=0)
,,,,,,,,,,JPO,rel16/32,,,,,,,,,,
,0F,8C,,,03+,,,,,JL,rel16/32,,,,,o..s....,,,,,Jump near if less/not greater (SF!=OF)
,,,,,,,,,,JNGE,rel16/32,,,,,,,,,,
,0F,8D,,,03+,,,,,JNL,rel16/32,,,,,o..s....,,,,,Jump near if not less/greater or equal (SF=OF)
,,,,,,,,,,JGE,rel16/32,,,,,,,,,,
,0F,8E,,,03+,,,,,JLE,rel16/32,,,,,o..sz...,,,,,Jump near if less or equal/not greater ((ZF=1) OR (SF!=OF))
,,,,,,,,,,JNG,rel16/32,,,,,,,,,,
,0F,8F,,,03+,,,,,JNLE,rel16/32,,,,,o..sz...,,,,,Jump near if not less nor equal/greater ((ZF=0) AND (SF=OF))
,,,,,,,,,,JG,rel16/32,,,,,,,,,,
,0F,90,,0,03+,D18,,,,SETO,r/m8,,,,,o.......,,,,,Set Byte on Condition - overflow (OF=1)
,0F,91,,0,03+,D18,,,,SETNO,r/m8,,,,,o.......,,,,,Set Byte on Condition - not overflow (OF=0)
,0F,92,,0,03+,D18,,,,SETB,r/m8,,,,,.......c,,,,,Set Byte on Condition - below/not above or equal/carry (CF=1)
,,,,,,,,,,SETNAE,r/m8,,,,,,,,,,
,,,,,,,,,,SETC,r/m8,,,,,,,,,,
,0F,93,,0,03+,D18,,,,SETNB,r/m8,,,,,.......c,,,,,Set Byte on Condition - not below/above or equal/not carry (CF=0)
,,,,,,,,,,SETAE,r/m8,,,,,,,,,,
,,,,,,,,,,SETNC,r/m8,,,,,,,,,,
,0F,94,,0,03+,D18,,,,SETZ,r/m8,,,,,....z...,,,,,Set Byte on Condition - zero/equal (ZF=1)
,,,,,,,,,,SETE,r/m8,,,,,,,,,,
,0F,95,,0,03+,D18,,,,SETNZ,r/m8,,,,,....z...,,,,,Set Byte on Condition - not zero/not equal (ZF=0)
,,,,,,,,,,SETNE,r/m8,,,,,,,,,,
,0F,96,,0,03+,D18,,,,SETBE,r/m8,,,,,....z..c,,,,,Set Byte on Condition - below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,SETNA,r/m8,,,,,,,,,,
,0F,97,,0,03+,D18,,,,SETNBE,r/m8,,,,,....z..c,,,,,Set Byte on Condition - not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,SETA,r/m8,,,,,,,,,,
,0F,98,,0,03+,D18,,,,SETS,r/m8,,,,,...s....,,,,,Set Byte on Condition - sign (SF=1)
,0F,99,,0,03+,D18,,,,SETNS,r/m8,,,,,...s....,,,,,Set Byte on Condition - not sign (SF=0)
,0F,9A,,0,03+,D18,,,,SETP,r/m8,,,,,......p.,,,,,Set Byte on Condition - parity/parity even (PF=1)
,,,,,,,,,,SETPE,r/m8,,,,,,,,,,
,0F,9B,,0,03+,D18,,,,SETNP,r/m8,,,,,......p.,,,,,Set Byte on Condition - not parity/parity odd (PF=0)
,,,,,,,,,,SETPO,r/m8,,,,,,,,,,
,0F,9C,,0,03+,D18,,,,SETL,r/m8,,,,,o..s....,,,,,Set Byte on Condition - less/not greater (SF!=OF)
,,,,,,,,,,SETNGE,r/m8,,,,,,,,,,
,0F,9D,,0,03+,D18,,,,SETNL,r/m8,,,,,o..s....,,,,,Set Byte on Condition - not less/greater or equal (SF=OF)
,,,,,,,,,,SETGE,r/m8,,,,,,,,,,
,0F,9E,,0,03+,D18,,,,SETLE,r/m8,,,,,o..sz...,,,,,Set Byte on Condition - less or equal/not greater ((ZF=1) OR (SF!=OF))
,,,,,,,,,,SETNG,r/m8,,,,,,,,,,
,0F,9F,,0,03+,D18,,,,SETNLE,r/m8,,,,,o..sz...,,,,,Set Byte on Condition - not less nor equal/greater ((ZF=0) AND (SF=OF))
,,,,,,,,,,SETG,r/m8,,,,,,,,,,
,0F,A0,,,03+,,,,,PUSH,FS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,0F,A1,,,03+,,,,,POP,FS,,,,,,,,,,Pop a Value from the Stack
,0F,A2,,,04++,,,,,CPUID,IA32_BIOS_…,EAX,ECX,...,,,,,,,CPU Identification
,0F,A3,,r,03+,,,,,BT,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test
,0F,A4,,r,03+,,,,,SHLD,r/m16/32,r16/32,imm8,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Left
,0F,A5,,r,03+,,,,,SHLD,r/m16/32,r16/32,CL,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Left
,0F,A8,,,03+,,,,,PUSH,GS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,0F,A9,,,03+,,,,,POP,GS,,,,,,,,,,Pop a Value from the Stack
,0F,AA,,,03++,,S,,,RSM,Flags,,,,,,,,,,Resume from System Management Mode
,0F,AB,,r,03+,,,,L,BTS,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test and Set
,0F,AC,,r,03+,,,,,SHRD,r/m16/32,r16/32,imm8,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Right
,0F,AD,,r,03+,,,,,SHRD,r/m16/32,r16/32,CL,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Right
,0F,AE,,0,P2++,,,,,FXSAVE,m512,ST,ST1,...,,,,,,,"Save x87 FPU, MMX, XMM, and MXCSR State"
,0F,AE,,1,P2++,,,,,FXRSTOR,ST,ST1,ST2,...,,,,,,,"Restore x87 FPU, MMX, XMM, and MXCSR State"
,0F,AE,,2,P3+,,,,,LDMXCSR,m32,,,,sse1,,,,,,Load MXCSR Register
,0F,AE,,3,P3+,,,,,STMXCSR,m32,,,,sse1,,,,,,Store MXCSR Register State
,0F,AE,,4,C2++,,,,,XSAVE,m,EDX,EAX,...,,,,,,,Save Processor Extended States
,0F,AE,,5,P4+,,,,,LFENCE,,,,,sse2,,,,,,Load Fence
,0F,AE,,5,C2++,,,,,XRSTOR,ST,ST1,ST2,...,,,,,,,Restore Processor Extended States
,0F,AE,,6,P4+,,,,,MFENCE,,,,,sse2,,,,,,Memory Fence
,0F,AE,,7,P3+,,,,,SFENCE,,,,,sse1,,,,,,Store Fence
,0F,AE,,7,P4+,,,,,CLFLUSH,m8,,,,sse2,,,,,,Flush Cache Line
,0F,AF,,r,03+,,,,,IMUL,r16/32,r/m16/32,,,,,o..szapc,o......c,...szap.,,Signed Multiply
,0F,B0,,r,04+,D19,,,L,CMPXCHG,r/m8,AL,r8,,,,o..szapc,o..szapc,,,Compare and Exchange
,0F,B1,,r,04+,D19,,,L,CMPXCHG,r/m16/32,eAX,r16/32,,,,o..szapc,o..szapc,,,Compare and Exchange
,0F,B2,,r,03+,,,,,LSS,SS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
,0F,B3,,r,03+,,,,L,BTR,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test and Reset
,0F,B4,,r,03+,,,,,LFS,FS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
,0F,B5,,r,03+,,,,,LGS,GS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
,0F,B6,,r,03+,,,,,MOVZX,r16/32,r/m8,,,,,,,,,Move with Zero-Extend
,0F,B7,,r,03+,,,,,MOVZX,r16/32,r/m16,,,,,,,,,Move with Zero-Extend
F3,0F,B8,,r,C2++,,,,,POPCNT,r16/32,r/m16/32,,,,,o..szapc,,,o..s.apc,Bit Population Count
,0F,B9,,r,02+,M20,,,,UD,r,r/m,,,,,,,,,Undefined Instruction
,0F,BA,,4,03+,,,,,BT,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test
,0F,BA,,5,03+,,,,L,BTS,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test and Set
,0F,BA,,6,03+,,,,L,BTR,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test and Reset
,0F,BA,,7,03+,,,,L,BTC,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test and Complement
,0F,BB,,r,03+,,,,L,BTC,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test and Complement
,0F,BC,,r,03+,,,,,BSF,r16/32,r/m16/32,,,,,o..szapc,....z...,o..s.apc,,Bit Scan Forward
,0F,BD,,r,03+,,,,,BSR,r16/32,r/m16/32,,,,,o..szapc,....z...,o..s.apc,,Bit Scan Reverse
,0F,BE,,r,03+,,,,,MOVSX,r16/32,r/m8,,,,,,,,,Move with Sign-Extension
,0F,BF,,r,03+,,,,,MOVSX,r16/32,r/m16,,,,,,,,,Move with Sign-Extension
,0F,C0,,r,04+,,,,L,XADD,r/m8,r8,,,,,o..szapc,o..szapc,,,Exchange and Add
,0F,C1,,r,04+,,,,L,XADD,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Exchange and Add
,0F,C2,,r,P3+,,,,,CMPPS,xmm,xmm/m128,imm8,,sse1,,,,,,Compare Packed Single-FP Values
F3,0F,C2,,r,P3+,,,,,CMPSS,xmm,xmm/m32,imm8,,sse1,,,,,,Compare Scalar Single-FP Values
66,0F,C2,,r,P4+,,,,,CMPPD,xmm,xmm/m128,imm8,,sse2,,,,,,Compare Packed Double-FP Values
F2,0F,C2,,r,P4+,,,,,CMPSD,xmm,xmm/m64,imm8,,sse2,,,,,,Compare Scalar Double-FP Values
,0F,C3,,r,P4+,,,,,MOVNTI,m32,r32,,,sse2,,,,,,Store Doubleword Using Non-Temporal Hint
,0F,C4,,r,P3+,,,,,PINSRW,mm,r32,imm8,,sse1,,,,,,Insert Word
,,,,,,,,,,PINSRW,mm,m16,imm8,,,,,,,,
66,0F,C4,,r,P3+,,,,,PINSRW,xmm,r32,imm8,,sse1,,,,,,Insert Word
,,,,,,,,,,PINSRW,xmm,m16,imm8,,,,,,,,
,0F,C5,,r,P3+,,,,,PEXTRW,r32,mm,imm8,,sse1,,,,,,Extract Word
66,0F,C5,,r,P3+,,,,,PEXTRW,r32,xmm,imm8,,sse1,,,,,,Extract Word
,0F,C6,,r,P3+,,,,,SHUFPS,xmm,xmm/m128,imm8,,sse1,,,,,,Shuffle Packed Single-FP Values
66,0F,C6,,r,P4+,,,,,SHUFPD,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed Double-FP Values
,0F,C7,,1,P1+,D21,,,L,CMPXCHG8B,m64,EAX,EDX,...,,,....z...,....z...,,,Compare and Exchange Bytes
,0F,C7,,6,P4++,D24,P,0,,VMPTRLD,m64,,,,vmx,,o..szapc,o..szapc,,,Load Pointer to Virtual-Machine Control Structure
66,0F,C7,,6,P4++,D24,P,0,,VMCLEAR,m64,,,,vmx,,o..szapc,o..szapc,,,Clear Virtual-Machine Control Structure
F3,0F,C7,,6,P4++,D24,P,0,,VMXON,m64,,,,vmx,,o..szapc,o..szapc,,,Enter VMX Operation
,0F,C7,,7,P4++,D24,P,0,,VMPTRST,m64,,,,vmx,,o..szapc,o..szapc,,,Store Pointer to Virtual-Machine Control Structure
,0F,C8+r,,,04+,D22,,,,BSWAP,r16/32,,,,,,,,,,Byte Swap
66,0F,D0,,r,P4++,,,,,ADDSUBPD,xmm,xmm/m128,,,sse3,,,,,,Packed Double-FP Add/Subtract
F2,0F,D0,,r,P4++,,,,,ADDSUBPS,xmm,xmm/m128,,,sse3,,,,,,Packed Single-FP Add/Subtract
,0F,D1,,r,PX+,,,,,PSRLW,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Logical
66,0F,D1,,r,P4+,,,,,PSRLW,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Logical
,0F,D2,,r,PX+,,,,,PSRLD,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Logical
66,0F,D2,,r,P4+,,,,,PSRLD,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Logical
,0F,D3,,r,PX+,,,,,PSRLQ,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Logical
66,0F,D3,,r,P4+,,,,,PSRLQ,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Logical
,0F,D4,,r,PX+,,,,,PADDQ,mm,mm/m64,,,sse2,,,,,,Add Packed Quadword Integers
